n	l	d	nz	d1	w1	d2	w2	W	d0	d200
3	18000.0	500.0	18	40.0	2.0	10.0	2.0	136.27808358817532	17.585483	60.495669
3	18000.0	500.0	18	40.0	2.3	10.0	2.0	150.54067278287462	17.188752	55.209418
3	18000.0	500.0	18	40.0	2.6	10.0	2.0	164.56350662589193	16.909321	51.17201
3	18000.0	600.0	18	40.0	2.0	10.0	2.0	139.55310907237512	12.658639	42.886727
3	18000.0	600.0	18	40.0	2.3	10.0	2.0	153.8152905198777	12.359943	39.178081
3	18000.0	600.0	18	40.0	2.6	10.0	2.0	167.838124362895	12.150631	36.348144
3	18000.0	700.0	18	40.0	2.0	10.0	2.0	142.96228338430174	9.65312	32.207694
3	18000.0	700.0	18	40.0	2.3	10.0	2.0	157.22487257900102	9.418538	29.461398
3	18000.0	700.0	18	40.0	2.6	10.0	2.0	171.2472986748216	9.255514	27.368108
3	18000.0	800.0	18	40.0	2.0	10.0	2.0	146.48888888888888	7.686228	25.257765
3	18000.0	800.0	18	40.0	2.3	10.0	2.0	160.75147808358815	7.496536	23.141786
3	18000.0	800.0	18	40.0	2.6	10.0	2.0	174.77390417940876	7.366216	21.531108
3	18000.0	500.0	18	40.0	2.0	15.0	2.0	158.19612640163098	19.860554	61.466014
3	18000.0	500.0	18	40.0	2.3	15.0	2.0	172.459123343527	19.099425	55.826464
3	18000.0	500.0	18	40.0	2.6	15.0	2.0	186.48236493374108	18.530227	51.507272
3	18000.0	600.0	18	40.0	2.0	15.0	2.0	163.51804281345565	14.387334	43.600671
3	18000.0	600.0	18	40.0	2.3	15.0	2.0	177.78063200815492	13.808172	39.615553
3	18000.0	600.0	18	40.0	2.6	15.0	2.0	191.80346585117226	13.375583	36.565253
3	18000.0	700.0	18	40.0	2.0	15.0	2.0	169.05851172273188	11.026599	32.725685
3	18000.0	700.0	18	40.0	2.3	15.0	2.0	183.32110091743118	10.564979	29.754162
3	18000.0	700.0	18	40.0	2.6	15.0	2.0	197.3435270132518	10.220871	27.481141
3	18000.0	800.0	18	40.0	2.0	15.0	2.0	174.7893985728848	8.813523	25.624491
3	18000.0	800.0	18	40.0	2.3	15.0	2.0	189.05198776758408	8.43299	23.318676
3	18000.0	800.0	18	40.0	2.6	15.0	2.0	203.07482161060142	8.150085	21.556192
3	18000.0	500.0	12	40.0	2.0	10.0	2.0	131.3643221202854	18.047346	64.335449
3	18000.0	500.0	12	40.0	2.3	10.0	2.0	145.62731906218144	17.818004	59.147245
3	18000.0	500.0	12	40.0	2.6	10.0	2.0	159.65015290519875	17.688474	55.206318
3	18000.0	600.0	12	40.0	2.0	10.0	2.0	133.39286442405708	12.863267	45.423087
3	18000.0	600.0	12	40.0	2.3	10.0	2.0	147.65504587155962	12.691346	41.791262
3	18000.0	600.0	12	40.0	2.6	10.0	2.0	161.67787971457696	12.593865	39.034781
3	18000.0	700.0	12	40.0	2.0	10.0	2.0	135.49561671763504	9.700583	33.934312
3	18000.0	700.0	12	40.0	2.3	10.0	2.0	149.75779816513761	9.566857	31.251817
3	18000.0	700.0	12	40.0	2.6	10.0	2.0	163.78063200815495	9.491481	29.217731
3	18000.0	800.0	12	40.0	2.0	10.0	2.0	137.66931702344547	7.630451	26.444472
3	18000.0	800.0	12	40.0	2.3	10.0	2.0	151.93149847094801	7.523534	24.382868
3	18000.0	800.0	12	40.0	2.6	10.0	2.0	165.95433231396532	7.4641	22.821283
3	18000.0	500.0	12	40.0	2.0	15.0	2.0	150.20998980632007	19.677246	63.498252
3	18000.0	500.0	12	40.0	2.3	15.0	2.0	164.47257900101937	19.09154	57.980013
3	18000.0	500.0	12	40.0	2.6	15.0	2.0	178.49582059123344	18.670189	53.766352
3	18000.0	600.0	12	40.0	2.0	15.0	2.0	153.50662589194698	14.095985	44.872034
3	18000.0	600.0	12	40.0	2.3	15.0	2.0	167.76921508664628	13.656487	40.981847
3	18000.0	600.0	12	40.0	2.6	15.0	2.0	181.79204892966362	13.340064	38.013145
3	18000.0	700.0	12	40.0	2.0	15.0	2.0	156.92395514780836	10.669222	33.506021
3	18000.0	700.0	12	40.0	2.3	15.0	2.0	171.18654434250763	10.32446	30.616344
3	18000.0	700.0	12	40.0	2.6	15.0	2.0	185.20937818552497	10.076379	28.412397
3	18000.0	800.0	12	40.0	2.0	15.0	2.0	160.45626911314983	8.415698	26.074902
3	18000.0	800.0	12	40.0	2.3	15.0	2.0	174.71885830784913	8.135821	23.842227
3	18000.0	800.0	12	40.0	2.6	15.0	2.0	188.74169215086647	7.934736	22.140413
3	18000.0	500.0	18	48.0	2.0	10.0	2.0	157.58532110091744	16.958478	52.808325
3	18000.0	500.0	18	48.0	2.3	10.0	2.0	175.04383282364932	16.676557	48.467575
3	18000.0	500.0	18	48.0	2.6	10.0	2.0	192.26258919469927	16.491311	45.16127
3	18000.0	600.0	18	48.0	2.0	10.0	2.0	160.85993883792048	12.204249	37.53792
3	18000.0	600.0	18	48.0	2.3	10.0	2.0	178.3184505606524	11.993198	34.492343
3	18000.0	600.0	18	48.0	2.6	10.0	2.0	195.53720693170234	11.855992	32.175762
3	18000.0	700.0	18	48.0	2.0	10.0	2.0	164.2695208970438	9.305192	28.26864
3	18000.0	700.0	18	48.0	2.3	10.0	2.0	181.72762487257899	9.141566	26.015189
3	18000.0	700.0	18	48.0	2.6	10.0	2.0	198.94638124362893	9.03713	24.30402
3	18000.0	800.0	18	48.0	2.0	10.0	2.0	167.79612640163097	7.409865	22.234438
3	18000.0	800.0	18	48.0	2.3	10.0	2.0	185.25423037716615	7.280112	20.500886
3	18000.0	800.0	18	48.0	2.6	10.0	2.0	202.4729867482161	7.199498	19.187224
3	18000.0	500.0	18	48.0	2.0	15.0	2.0	179.50377166156983	18.701892	53.260859
3	18000.0	500.0	18	48.0	2.3	15.0	2.0	196.96269113149845	18.100079	48.610142
3	18000.0	500.0	18	48.0	2.6	15.0	2.0	214.18185524974513	17.656925	45.053274
3	18000.0	600.0	18	48.0	2.0	15.0	2.0	184.8256880733945	13.52742	37.853115
3	18000.0	600.0	18	48.0	2.3	15.0	2.0	202.2841997961264	13.069252	34.564201
3	18000.0	600.0	18	48.0	2.6	15.0	2.0	219.50295616717634	12.732512	32.050976
3	18000.0	700.0	18	48.0	2.0	15.0	2.0	190.365749235474	10.352121	28.464656
3	18000.0	700.0	18	48.0	2.3	15.0	2.0	207.8242609582059	9.987634	26.012188
3	18000.0	700.0	18	48.0	2.6	15.0	2.0	225.04301732925586	9.720616	24.139902
3	18000.0	800.0	18	48.0	2.0	15.0	2.0	196.0966360856269	8.263519	22.331167
3	18000.0	800.0	18	48.0	2.3	15.0	2.0	213.5551478083588	7.96415	20.429117
3	18000.0	800.0	18	48.0	2.6	15.0	2.0	230.77390417940873	7.745811	18.978656
3	18000.0	500.0	12	48.0	2.0	10.0	2.0	152.67196738022426	17.653203	56.740385
3	18000.0	500.0	12	48.0	2.3	10.0	2.0	170.13088685015288	17.548203	52.518757
3	18000.0	500.0	12	48.0	2.6	10.0	2.0	187.35045871559632	17.525232	49.330097
3	18000.0	600.0	12	48.0	2.0	10.0	2.0	154.70010193679917	12.586786	40.158861
3	18000.0	600.0	12	48.0	2.3	10.0	2.0	172.15861365953108	12.50687	37.202849
3	18000.0	600.0	12	48.0	2.6	10.0	2.0	189.3769622833843	12.488278	34.972893
3	18000.0	700.0	12	48.0	2.0	10.0	2.0	156.80285423037716	9.495042	30.072323
3	18000.0	700.0	12	48.0	2.3	10.0	2.0	174.26095820591232	9.433475	27.890073
3	18000.0	700.0	12	48.0	2.6	10.0	2.0	191.47971457696227	9.420037	26.246181
3	18000.0	800.0	12	48.0	2.0	10.0	2.0	158.97614678899083	7.471346	23.490524
3	18000.0	800.0	12	48.0	2.3	10.0	2.0	176.43465851172272	7.423532	21.815255
3	18000.0	800.0	12	48.0	2.6	10.0	2.0	193.65341488277267	7.414907	20.555408
3	18000.0	500.0	12	48.0	2.0	15.0	2.0	171.5164118246687	18.763526	55.431998
3	18000.0	500.0	12	48.0	2.3	15.0	2.0	188.9757390417941	18.331085	50.906028
3	18000.0	500.0	12	48.0	2.6	15.0	2.0	206.19490316004075	18.03417	47.460224
3	18000.0	600.0	12	48.0	2.0	15.0	2.0	174.81386340468907	13.432625	39.242583
3	18000.0	600.0	12	48.0	2.3	15.0	2.0	192.27278287461772	13.106456	36.048631
3	18000.0	600.0	12	48.0	2.6	15.0	2.0	209.49235474006113	12.882095	33.619082
3	18000.0	700.0	12	48.0	2.0	15.0	2.0	178.2320081549439	10.159988	29.352393
3	18000.0	700.0	12	48.0	2.3	15.0	2.0	195.69051987767583	9.903878	26.979236
3	18000.0	700.0	12	48.0	2.6	15.0	2.0	212.90927624872577	9.727869	25.175553
3	18000.0	800.0	12	48.0	2.0	15.0	2.0	181.76391437308868	8.008342	22.880488
3	18000.0	800.0	12	48.0	2.3	15.0	2.0	199.2224260958206	7.800762	21.047354
3	18000.0	800.0	12	48.0	2.6	15.0	2.0	216.44118246687054	7.658513	19.65539
